tweet_id,retweet_count,favorite_count
892420643555336193,8370,38207
892177421306343426,6179,32758
891815181378084864,4090,24669
891689557279858688,8497,41531
891327558926688256,9212,39723
891087950875897856,3062,19938
890971913173991426,2031,11669
890729181411237888,18571,64469
890609185150312448,4206,27400
890240255349198849,7271,31450
890006608113172480,7218,30235
889880896479866881,4897,27391
889665388333682689,9898,47427
889638837579907072,4473,26772
889531135344209921,2208,14883
889278841981685760,5290,24888
888917238123831296,4421,28672
888804989199671297,4225,25198
888554962724278272,3493,19547
888078434458587136,3444,21442
887705289381826560,5304,29742
887517139158093824,11487,45600
887473957103951883,17903,68089
887343217045368832,10243,33199
887101392804085760,5873,30130
886983233522544640,7653,34659
886736880519319552,3229,11873
886680336477933568,4396,22113
886366144734445568,3151,20885
886267009285017600,4,116
886258384151887873,6186,27591
886054160059072513,105,0
885984800019947520,6692,32195
885528943205470208,6330,35466
885518971528720385,3704,20132
885311592912609280,18288,0
885167619883638784,4314,21607
884925521741709313,18011,76326
884876753390489601,5563,27528
884562892145688576,4660,23970
884441805382717440,5573,26612
884247878851493888,20157,72004
884162670584377345,2944,20080
883838122936631299,3399,21596
883482846933004288,9804,45273
883360690899218434,3645,22355
883117836046086144,6575,36683
882992080364220416,3866,23633
882762694511734784,4849,27916
882627270321602560,5998,27526
882268110199369728,11435,44339
882045870035918850,4903,28962
881906580714921986,3347,23984
881666595344535552,10518,49903
881633300179243008,7,123
881536004380872706,15722,48769
881268444196462592,5099,22773
880935762899988482,2747,16790
880872448815771648,3766,20990
880465832366813184,6192,28149
880221127280381952,4164,26707
880095782870896641,4302,27273
879862464715927552,3454,22030
879674319642796034,10,308
879492040517615616,3142,23100
879415818425184262,43600,104463
879376492567855104,3079,16555
879130579576475649,6741,0
879050749262655488,4662,22267
879008229531029506,2664,18732
878776093423087618,4079,19154
878604707211726852,7115,29881
878404777348136964,1273,0
878316110768087041,6576,0
878281511006478336,1273,7651
878057613040115712,6741,41496
877736472329191424,18866,78709
877611172832227328,80,0
877556246731214848,3767,22426
877316821321428993,5119,27025
877201837425926144,5523,26769
876838120628539392,3311,20420
876537666061221889,4578,23206
876484053909872640,2373,18526
876120275196170240,4648,27570
875747767867523072,4250,24874
875144289856114688,4880,21654
875097192612077568,5990,27082
875021211251597312,4676,25166
874680097055178752,4606,27511
874434818259525634,14617,0
874296783580663808,4080,25759
874057562936811520,3926,22395
874012996292530176,10333,34210
873580283840344065,3919,23944
873337748698140672,1578,0
873213775632977920,1578,7153
872967104147763200,5376,27081
872820683541237760,3676,14572
872620804844003328,3680,20589
872486979161796608,8972,40286
872261713294495745,6294,33880
872122724285648897,8094,34137
871879754684805121,11145,37654
871762521631449091,3466,20100
871515927908634625,3447,20057
871166179821445120,5691,0
871102520638267392,5493,20769
871032628920680449,3814,22505
870804317367881728,6202,33392
870726314365509632,3,119
870656317836468226,2648,12338
870374049280663552,26226,82232
870308999962521604,4159,21718
870063196459192321,8360,36482
869772420881756160,10052,42223
869702957897576449,6364,28123
869596645499047938,3139,15921
869227993411051520,3799,20364
868880397819494401,14557,65467
868639477480148993,2108,0
868622495443632128,5406,26778
868552278524837888,2108,10123
867900495410671616,4204,24157
867774946302451713,7390,33981
867421006826221569,2530,16111
867072653475098625,121,0
867051520902168576,7932,32247
866720684873056260,4861,20099
866686824827068416,3524,19356
866450705531457537,35623,122459
866334964761202691,14617,52705
866094527597207552,8470,0
865718153858494464,5682,25682
865359393868664832,5062,26574
865006731092295680,7779,28112
864873206498414592,8824,32428
864279568663928832,3083,14695
864197398364647424,9073,30304
863907417377173506,4206,20732
863553081350529029,4243,15394
863471782782697472,2498,0
863432100342583297,5348,23975
863427515083354112,99,2280
863079547188785154,1119,8827
863062471531167744,2498,8584
862831371563274240,5174,19309
862722525377298433,3588,17192
862457590147678208,5048,20714
862096992088072192,23741,75105
861383897657036800,10911,36390
861288531465048066,4242,17345
861005113778896900,3882,16867
860981674716409858,2204,0
860924035999428608,840,0
860563773140209665,2204,7583
860524505164394496,5395,23870
860276583193509888,3554,18495
860184849394610176,5967,16871
860177593139703809,31580,0
859924526012018688,4195,19772
859851578198683649,3595,15578
859607811541651456,1612,18811
859196978902773760,30983,90973
859074603037188101,13957,34320
858860390427611136,8360,0
858843525470990336,3566,15739
858471635011153920,4978,21786
858107933456039936,3000,15939
857989990357356544,2656,16355
857746408056729600,10953,34792
857393404942143489,1690,6004
857263160327368704,4658,20334
857214891891077121,18,232
857062103051644929,177,0
857029823797047296,4133,19261
856602993587888130,11047,0
856543823941562368,2974,16548
856526610513747968,1942,12051
856330835276025856,702,0
856288084350160898,17,527
856282028240666624,6532,28231
855862651834028034,28,352
855860136149123072,1066,5140
855857698524602368,2190,12081
855851453814013952,18325,46299
855818117272018944,5625,27133
855459453768019968,8518,30554
855245323840757760,6209,0
855138241867124737,48,0
854732716440526848,6359,23369
854482394044301312,7154,30017
854365224396361728,4883,19360
854120357044912130,7813,32749
854010172552949760,3291,16616
853760880890318849,6061,29332
853639147608842240,10601,35799
853299958564483072,3737,15956
852936405516943360,2105,0
852912242202992640,1927,9317
852672615818899456,2261,15352
852553447878664193,3690,16860
852311364735569921,10381,34123
852226086759018497,7142,20607
852189679701164033,1666,11820
851953902622658560,10137,0
851861385021730816,23,0
851591660324737024,3649,16721
851464819735769094,7447,25074
851224888060895234,6031,21359
850753642995093505,9789,32084
850380195714523136,2760,13514
850333567704068097,352,3548
850145622816686080,4044,16903
850019790995546112,5171,21188
849776966551130114,8031,31559
849668094696017920,5243,0
849412302885593088,3324,16453
849336543269576704,1994,11844
849051919805034497,9019,44075
848690551926992896,4572,26159
848324959059550208,4878,25697
848213670039564288,793,8484
848212111729840128,3258,16955
847978865427394560,3453,0
847971574464610304,457,0
847962785489326080,5411,24452
